id,position,country,jurisdiction,deputy,list,start,end,before,after,enwiki
Q47006398,President of Niger,Q1032,Q1032,,,,,,,
Q30100634,Prime Minister of Niger,Q1032,Q1032,,Q2250451,1983-01-24,,,,
Q110537714,Minister of Agriculture,Q1032,Q1032,,,,,,,
Q110537710,Minister of Commerce,Q1032,Q1032,,,,,,,
Q110537690,Minister of Communication,Q1032,Q1032,,,,,,,
Q110537758,Minister of Culture,Q1032,Q1032,,,,,,,
Q110537818,Minister of Employment and Social Protection,Q1032,Q1032,,,,,,,
Q110537808,Minister of the Environment,Q1032,Q1032,,,,,,,
Q63331939,Minister of Equipment,Q1032,Q1032,,,,,,,
Q98879840,Finance Minister of Niger,Q1032,Q1032,,,,,,,
Q63332164,Foreign minister of Niger,Q1032,Q1032,,Q58639823,,,,,
Q110537645,Minister of Higher Education,Q1032,Q1032,,,,,,,
Q110537673,Minister of Humanitarian Action and Disaster Management,Q1032,Q1032,,,,,,,
Q110537796,Minister of Hydraulics,Q1032,Q1032,,,,,,,
Q110537598,Minister of the Interior,Q1032,Q1032,,,,,,,
Q108551873,Justice minister,Q1032,Q1032,,,1960,,,,Ministry of Justice (Niger)
Q110537681,Minister of Livestock,Q1032,Q1032,,,,,,,
Q110537652,Minister of Mines,Q1032,Q1032,,,,,,,
Q110537625,Minister of National Defence,Q1032,Q1032,,,,,,,
Q110537790,Minister of National Education,Q1032,Q1032,,,,,,,
Q110537746,"Minister of Petroleum, Energy, and Renewable Energies",Q1032,Q1032,,,,,,,
Q110537733,Minister of Planning,Q1032,Q1032,,,,,,,
Q110537663,Minister of Post and New Information Technologies,Q1032,Q1032,,,,,,,
Q110537783,Minister for the Promotion of Women,Q1032,Q1032,,,,,,,
Q110537648,Minister of Public Health,Q1032,Q1032,,,,,,,
Q110537621,Minister of Public Service,Q1032,Q1032,,,,,,,
Q110537766,Minister of Regional Planning,Q1032,Q1032,,,,,,,
Q110537727,"Minister of Town Planning, Housing and Sanitation",Q1032,Q1032,,,,,,,
Q110537669,Minister of Transport,Q1032,Q1032,,,,,,,
Q110537642,Minister of Vocational Training,Q1032,Q1032,,,,,,,
Q110537821,Minister of Youth and Sport,Q1032,Q1032,,,,,,,
Q110537957,President of the National Assembly of Niger,,,,Q11812638,,,,,
Q110538022,Chief of General Staff of the Armed Forces of Niger,Q1032,,,,,,,,
